GO Term ID	GO Term Name	Corrected p-val	Uncorrected p-val
GO:0016853	isomerase activity	0.5228753409838826	0.020930973007884227
GO:0009410	response to xenobiotic stimulus	0.5228753409838826	0.021791908434105525
GO:0006271	DNA strand elongation involved in DNA replication	0.5228753409838826	0.032467792726319694
GO:0000160	phosphorelay signal transduction system	0.5228753409838826	0.03423143009549406
GO:0005618	cell wall	0.5228753409838826	0.04033648489082505
GO:0032324	molybdopterin cofactor biosynthetic process	0.5228753409838826	0.04536822141244047
GO:0004556	alpha-amylase activity	0.5228753409838826	0.046742754775198236
GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity	0.5228753409838826	0.046742754775198236
GO:0005960	glycine cleavage complex	0.5228753409838826	0.046742754775198236
GO:0010127	mycothiol-dependent detoxification	0.5228753409838826	0.046742754775198236
GO:0042783	active evasion of host immune response	0.5228753409838826	0.04979004466780543
GO:0005992	trehalose biosynthetic process	0.5228753409838826	0.06039964156188591
GO:0006355	regulation of transcription, DNA-templated	0.5228753409838826	0.06204174488540681
GO:0006635	fatty acid beta-oxidation	0.5228753409838826	0.06561424437105619
GO:0019464	glycine decarboxylation via glycine cleavage system	0.5228753409838826	0.07311210709864488
GO:0046688	response to copper ion	0.5228753409838826	0.09628676014953533
GO:0004300	enoyl-CoA hydratase activity	0.5228753409838826	0.09686501528285016
GO:0006006	glucose metabolic process	0.5228753409838826	0.1029792221925737
GO:0017004	cytochrome complex assembly	0.5228753409838826	0.1029792221925737
GO:0008234	cysteine-type peptidase activity	0.5228753409838826	0.1029792221925737
GO:0009415	response to water	0.5228753409838826	0.1029792221925737
GO:0052636	arabinosyltransferase activity	0.5228753409838826	0.1029792221925737
GO:0009061	anaerobic respiration	0.5228753409838826	0.11679529980453063
GO:0044315	protein secretion by the type VII secretion system	0.5228753409838826	0.11679529980453063
GO:0006605	protein targeting	0.5228753409838826	0.11997462150068447
GO:0006638	neutral lipid metabolic process	0.5228753409838826	0.12827725589489652
GO:0006642	triglyceride mobilization	0.5228753409838826	0.12827725589489652
GO:0006644	phospholipid metabolic process	0.5228753409838826	0.12827725589489652
GO:0006641	triglyceride metabolic process	0.5228753409838826	0.12827725589489652
GO:0006640	monoacylglycerol biosynthetic process	0.5228753409838826	0.12827725589489652
GO:0018629	2-hydroxyquinoline 5,6-dioxygenase activity	0.5228753409838826	0.12827725589489652
GO:0018627	2-aminobenzenesulfonate 2,3-dioxygenase activity	0.5228753409838826	0.12827725589489652
GO:0018628	terephthalate 1,2-dioxygenase activity	0.5228753409838826	0.12827725589489652
GO:0018625	naphthalene 1,2-dioxygenase activity	0.5228753409838826	0.12827725589489652
GO:0018626	2-chlorobenzoate 1,2-dioxygenase activity	0.5228753409838826	0.12827725589489652
GO:0006607	NLS-bearing protein import into nucleus	0.5228753409838826	0.12827725589489652
GO:0006606	protein import into nucleus	0.5228753409838826	0.12827725589489652
GO:0006609	obsolete mRNA-binding (hnRNP) protein import into nucleus	0.5228753409838826	0.12827725589489652
GO:0006608	obsolete snRNP protein import into nucleus	0.5228753409838826	0.12827725589489652
GO:0006603	phosphocreatine metabolic process	0.5228753409838826	0.12827725589489652
GO:0006602	creatinine catabolic process	0.5228753409838826	0.12827725589489652
GO:0006604	phosphoarginine metabolic process	0.5228753409838826	0.12827725589489652
GO:0006610	ribosomal protein import into nucleus	0.5228753409838826	0.12827725589489652
GO:0006612	protein targeting to membrane	0.5228753409838826	0.12827725589489652
GO:0006611	protein export from nucleus	0.5228753409838826	0.12827725589489652
GO:0006601	creatine biosynthetic process	0.5228753409838826	0.12827725589489652
GO:0006600	creatine metabolic process	0.5228753409838826	0.12827725589489652
GO:0006643	membrane lipid metabolic process	0.5228753409838826	0.13098907549101932
GO:0030246	carbohydrate binding	0.5228753409838826	0.13545414769352043
GO:0003996	acyl-CoA ligase activity	0.5228753409838826	0.13545414769352043
GO:0102391	decanoate-CoA ligase activity	0.5228753409838826	0.13545414769352043
GO:0004673	protein histidine kinase activity	0.5228753409838826	0.13545414769352043
GO:0009102	biotin biosynthetic process	0.5228753409838826	0.13545414769352043
GO:0046812	host cell surface binding	0.5228753409838826	0.13545414769352043
GO:0043546	molybdopterin cofactor binding	0.5228753409838826	0.13545414769352043
GO:0043022	ribosome binding	0.5228753409838826	0.13875852818163056
GO:0052059	evasion or tolerance by symbiont of host-produced reactive oxygen species	0.5228753409838826	0.13875852818163056
GO:0016829	lyase activity	0.5228753409838826	0.13875852818163056
GO:0006974	cellular response to DNA damage stimulus	0.5228753409838826	0.13875852818163056
GO:0006637	acyl-CoA metabolic process	0.5228753409838826	0.13934908655416248
GO:0005886	plasma membrane	0.5228753409838826	0.15729232364891207
GO:0071949	FAD binding	0.5228753409838826	0.16191341250812102
GO:0006096	glycolytic process	0.5228753409838826	0.16197753137362098
GO:0000105	histidine biosynthetic process	0.5228753409838826	0.16197753137362098
GO:0006352	DNA-templated transcription, initiation	0.5228753409838826	0.16197753137362098
GO:0071770	DIM/DIP cell wall layer assembly	0.5228753409838826	0.16538940267823482
GO:0003677	DNA binding	0.5228753409838826	0.16625715932359714
GO:0071555	cell wall organization	0.5228753409838826	0.1753550228612567
GO:0015700	arsenite transport	0.5228753409838826	0.17959820389416584
GO:0015699	antimonite transport	0.5228753409838826	0.17959820389416584
GO:0015104	antimonite transmembrane transporter activity	0.5228753409838826	0.17959820389416584
GO:0008760	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity	0.5228753409838826	0.17959820389416584
GO:0019277	UDP-N-acetylgalactosamine biosynthetic process	0.5228753409838826	0.17959820389416584
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	0.5228753409838826	0.17959820389416584
GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	0.5228753409838826	0.17959820389416584
GO:0004807	triose-phosphate isomerase activity	0.5228753409838826	0.17959820389416584
GO:0102040	fumarate reductase (menaquinone)	0.5228753409838826	0.17959820389416584
GO:0006113	fermentation	0.5228753409838826	0.17959820389416584
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	0.5228753409838826	0.17959820389416584
GO:0006517	protein deglycosylation	0.5228753409838826	0.17959820389416584
GO:0006516	glycoprotein catabolic process	0.5228753409838826	0.17959820389416584
GO:0016798	hydrolase activity, acting on glycosyl bonds	0.5228753409838826	0.17959820389416584
GO:0006880	intracellular sequestering of iron ion	0.5228753409838826	0.17959820389416584
GO:0004746	riboflavin synthase activity	0.5228753409838826	0.17959820389416584
GO:0046187	acetaldehyde catabolic process	0.5228753409838826	0.17959820389416584
