GO Term ID	GO Term Name	Corrected p-val	Uncorrected p-val
GO:0006355	regulation of transcription, DNA-templated	0.43586228201812266	0.008289542113499516
GO:0009410	response to xenobiotic stimulus	0.43586228201812266	0.010253466133436327
GO:0010127	mycothiol-dependent detoxification	0.43586228201812266	0.02785417709906561
GO:0005992	trehalose biosynthetic process	0.43586228201812266	0.02992613570433232
GO:0000160	phosphorelay signal transduction system	0.43586228201812266	0.042453650010430485
GO:0046688	response to copper ion	0.43586228201812266	0.049333122612681905
GO:0006638	neutral lipid metabolic process	0.43586228201812266	0.05252962632262801
GO:0006642	triglyceride mobilization	0.43586228201812266	0.05252962632262801
GO:0006644	phospholipid metabolic process	0.43586228201812266	0.05252962632262801
GO:0006641	triglyceride metabolic process	0.43586228201812266	0.05252962632262801
GO:0006640	monoacylglycerol biosynthetic process	0.43586228201812266	0.05252962632262801
GO:0018629	2-hydroxyquinoline 5,6-dioxygenase activity	0.43586228201812266	0.05252962632262801
GO:0018627	2-aminobenzenesulfonate 2,3-dioxygenase activity	0.43586228201812266	0.05252962632262801
GO:0018628	terephthalate 1,2-dioxygenase activity	0.43586228201812266	0.05252962632262801
GO:0018625	naphthalene 1,2-dioxygenase activity	0.43586228201812266	0.05252962632262801
GO:0018626	2-chlorobenzoate 1,2-dioxygenase activity	0.43586228201812266	0.05252962632262801
GO:0006607	NLS-bearing protein import into nucleus	0.43586228201812266	0.05252962632262801
GO:0006606	protein import into nucleus	0.43586228201812266	0.05252962632262801
GO:0006609	obsolete mRNA-binding (hnRNP) protein import into nucleus	0.43586228201812266	0.05252962632262801
GO:0006608	obsolete snRNP protein import into nucleus	0.43586228201812266	0.05252962632262801
GO:0006603	phosphocreatine metabolic process	0.43586228201812266	0.05252962632262801
GO:0006602	creatinine catabolic process	0.43586228201812266	0.05252962632262801
GO:0006604	phosphoarginine metabolic process	0.43586228201812266	0.05252962632262801
GO:0006610	ribosomal protein import into nucleus	0.43586228201812266	0.05252962632262801
GO:0006612	protein targeting to membrane	0.43586228201812266	0.05252962632262801
GO:0006611	protein export from nucleus	0.43586228201812266	0.05252962632262801
GO:0006601	creatine biosynthetic process	0.43586228201812266	0.05252962632262801
GO:0006600	creatine metabolic process	0.43586228201812266	0.05252962632262801
GO:0006643	membrane lipid metabolic process	0.43586228201812266	0.05375287191365795
